Country,Month,track_name,artist_names,Total_Streams
MX,2024-04,A TU NOMBRE,Junior H,2655229
MX,2024-04,A Tu Manera,"Junior H, Peso Pluma",7982185
MX,2024-05,(Entre Paréntesis),"Shakira, Grupo Frontera",7565994
MX,2024-05,"1 de Enero, Puntacana",Rels B,1825725
MX,2024-05,300 Noches,"Belinda, Natanael Cano",34149260
MX,2024-05,A Mí,Rels B,9658520
MX,2024-05,A Puro Dolor,Gabito Ballesteros,15319117
MX,2024-06,0 Sentimientos,Jasiel Nuñez,4514998
MX,2024-06,14 - 14,Peso Pluma,2495204
MX,2024-06,300 Noches,"Belinda, Natanael Cano",14290464
MX,2024-06,A Mí,Rels B,7601849
MX,2024-06,A Puro Dolor,Gabito Ballesteros,8458542
MX,2024-07,14 - 14,Peso Pluma,4527652
MX,2024-07,300 Noches,"Belinda, Natanael Cano",13064600
MX,2024-07,A Mí,Rels B,7067116
MX,2024-07,A Puro Dolor,Gabito Ballesteros,1452593
MX,2024-07,A TU NOMBRE,Junior H,7739911
MX,2024-08,14 - 14,Peso Pluma,5842381
MX,2024-08,300 Noches,"Belinda, Natanael Cano",13920363
MX,2024-08,5-7,"Tito Double P, Junior H",3229797
MX,2024-08,A Mí,Rels B,8951609
MX,2024-08,A TU NOMBRE,Junior H,8784182
MX,2024-09,300 Noches,"Belinda, Natanael Cano",8398156
MX,2024-09,5-7,"Tito Double P, Junior H",18762679
MX,2024-09,A Mí,Rels B,7646823
MX,2024-09,ADIVINO,"Myke Towers, Bad Bunny",1535118
MX,2024-09,AMARGURA,KAROL G,8732948
MX,2024-10,300 Noches,"Belinda, Natanael Cano",8859687
MX,2024-10,5-7,"Tito Double P, Junior H",25485883
MX,2024-10,A Mí,Rels B,9248987
MX,2024-10,A TU NOMBRE,Junior H,4490024
MX,2024-10,A chillar a otra parte,Pesado,6581276
MX,2024-11,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",8917557
MX,2024-11,2:12 AM,"Rauw Alejandro, LATIN MAFIA",4553204
MX,2024-11,5-7,"Tito Double P, Junior H",24569309
MX,2024-11,A Mí,Rels B,7768841
MX,2024-11,A chillar a otra parte,Pesado,1591311
MX,2024-12,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",1904396
MX,2024-12,2:12 AM,"Rauw Alejandro, LATIN MAFIA",1792970
MX,2024-12,5-7,"Tito Double P, Junior H",6963037
MX,2024-12,A Mí,Rels B,2498169
MX,2024-12,AMARGURA,KAROL G,1762111
SE,2023-06,17,"ADAAM, Pablo Paz, takenoelz",2439466
SE,2023-06,17 år,Veronica Maggio,1467486
SE,2023-06,5 SHOTS,"Ringnes-Ronny, Carina Dahl",338580
SE,2023-06,95,Mares,551936
SE,2023-06,All My Life (feat. J. Cole),"Lil Durk, J. Cole",333789
SE,2023-07,17,"ADAAM, Pablo Paz, takenoelz",2362246
SE,2023-07,17 år,Veronica Maggio,1268921
SE,2023-07,5 SHOTS,"Ringnes-Ronny, Carina Dahl",450134
SE,2023-07,95,Mares,140895
SE,2023-07,A Sky Full of Stars,Coldplay,1010423
SE,2023-08,(It Goes Like) Nanana - Edit,Peggy Gou,988615
SE,2023-08,17,"ADAAM, Pablo Paz, takenoelz",1882130
SE,2023-08,17 år,Veronica Maggio,1165865
SE,2023-08,5 SHOTS,"Ringnes-Ronny, Carina Dahl",391798
SE,2023-08,A Sky Full of Stars,Coldplay,270278
SE,2023-09,(It Goes Like) Nanana - Edit,Peggy Gou,643519
SE,2023-09,17,"ADAAM, Pablo Paz, takenoelz",1238903
SE,2023-09,17 år,Veronica Maggio,711439
SE,2023-09,1942,Ant Wan,129809
SE,2023-09,Agora Hills,Doja Cat,177771
SE,2023-10,(I Just) Died In Your Arms,Cutting Crew,132655
SE,2023-10,17,"ADAAM, Pablo Paz, takenoelz",690078
SE,2023-10,17 år,Veronica Maggio,637125
SE,2023-10,1942,Ant Wan,834227
SE,2023-10,20-nånting,estraden,493182
SE,2023-11,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,711929
SE,2023-11,12 Timmar,"Asme, SRNO",130213
SE,2023-11,17,"ADAAM, Pablo Paz, takenoelz",723792
SE,2023-11,17 år,Veronica Maggio,753014
SE,2023-11,1942,Ant Wan,704388
SE,2023-12,17,"ADAAM, Pablo Paz, takenoelz",541333
