Country,artist_names,streams
AU,"Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie",2390081
AU,Muni Long,2301794
AU,"Charli xcx, Troye Sivan",2272976
AU,Frank Sinatra,2242067
AU,"Fred again.., Lil Yachty, Overmono",2220945
AU,"Travis Scott, Bad Bunny, The Weeknd",2219728
AU,Lola Young,2201792
AU,"Arcane, Stromae, Pomme",2145216
AU,Lukas Graham,2134641
AU,Labrinth,2121401
AU,Brent Faiyaz,2102839
AU,"Megan Thee Stallion, Yuki Chiba",2096084
AU,JENNIE,2064465
AU,"Ed Sheeran, Elton John",2054153
AU,"Jessica Mauboy, Jason Derulo",2037014
AU,"Jaxomy, Agatino Romero, Raffaella Carrà",2033356
AU,Surf Curse,2019802
AU,"4batz, Drake",1998643
AU,Daya,1977114
AU,Chuck Berry,1932855
AU,"Swedish House Mafia, The Weeknd",1928758
AU,"Future, Metro Boomin, Travis Scott",1926896
AU,"Tory Lanez, Trippie Redd, Yoko Gold",1876792
AU,Paul McCartney,1852362
AU,"Calvin Harris, Sam Smith",1848265
AU,"Cynthia Erivo, Ariana Grande",1839983
AU,"Metro Boomin, Swae Lee, Lil Wayne, Offset",1806197
AU,"Eminem, White Gold",1805652
AU,"J Hus, Drake",1798881
AU,"21 Savage, Travis Scott, Metro Boomin",1797983
AU,Outkast,1792383
AU,"Eminem, Big Sean, BabyTron",1788798
AU,"Kelly Clarkson, Ariana Grande",1779506
AU,Elvis Presley,1772727
AU,"Metro Boomin, Coi Leray",1729254
AU,Ava Max,1723965
AU,XXXTENTACION,1690549
AU,Wheatus,1682302
AU,"The Pogues, Kirsty MacColl",1640746
AU,P!nk,1541998
AU,Sam Smith,1525195
AU,ROSÉ,1489807
AU,"P!nk, Nate Ruess",1482859
AU,"Ariana Grande, Cynthia Erivo",1470338
AU,Katy Perry,1463548
AU,"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",1459972
AU,SkuX,1439454
AU,Lady Gaga,1424845
AU,"21 Savage, Metro Boomin",1424651
AU,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",1418899
AU,Lil Mabu,1403868
AU,John Williams,1381051
AU,Chris Rea,1359967
AU,Eagles,1353372
AU,"The Weeknd, Lana Del Rey",1313212
AU,ABBA,1293428
AU,The Beach Boys,1281408
AU,"Maroon 5, Christina Aguilera",1263677
AU,"GloRilla, Sexyy Red",1252028
AU,"Eminem, JID",1251146
AU,"Gotye, Kimbra",1246666
AU,Lil Uzi Vert,1244318
AU,"mgk, Jelly Roll",1241098
AU,"Kendrick Lamar, Dody6",1219757
AU,"Tyler, The Creator, ScHoolboy Q, Santigold",1217172
AU,G-Eazy,1211155
AU,Odetari,1207089
AU,Cher,1190088
AU,Budjerah,1178589
AU,"Michael Bublé, The Puppini Sisters",1173712
AU,Darlene Love,1157922
AU,"The Weeknd, Anitta",1153916
AU,"Eminem, Jelly Roll",1152621
AU,"Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",1148908
AU,"Sevdaliza, Pabllo Vittar, Yseult",1129291
AU,Shakin' Stevens,1128999
AU,"Nicki Minaj, Drake",1109379
AU,Jonas Brothers,1108878
AU,"Cardi B, Megan Thee Stallion",1108042
AU,GloRilla,1107864
AU,G Flip,1095105
AU,"Nicki Minaj, Lil Uzi Vert",1076853
AU,"Tyler, The Creator, Daniel Caesar, LaToiya Williams",1076266
AU,"Gwen Stefani, Blake Shelton",1062212
AU,"Travis Scott, Rob49, 21 Savage",1046630
AU,V,1038604
AU,"Charli xcx, Ariana Grande",1036415
AU,Ella Fitzgerald,1018958
AU,"Travis Scott, Teezo Touchdown",1002742
AU,"Taylor Swift, Ice Spice",992535
AU,"Future, Metro Boomin, The Weeknd",951158
AU,"21 Savage, Doja Cat",938844
AU,"Future, Metro Boomin",916949
AU,"Tyler, The Creator, Doechii",892642
AU,"Oliver Tree, Robin Schulz",867552
AU,"Mustard, Travis Scott",841520
AU,"Travis Scott, James Blake, 21 Savage",837274
AU,Fred again..,833140
AU,"Drake, Central Cee",813889
AU,"Coldplay, BTS",811516
AU,Milli Vanilli,802234
AU,"Fred again.., The Blessed Madonna",795291
AU,Megan Thee Stallion,792314
AU,"Diplo, Morgan Wallen",764966
AU,Tyler Braden,760244
AU,Buffalo Springfield,753728
AU,"Taylor Swift, Bon Iver",753475
AU,"Travis Scott, Beyoncé",734946
AU,"A$AP Rocky, Imogen Heap, Clams Casino",724778
AU,"Eminem, Sly Pyper",706774
AU,"Drake, Teezo Touchdown",682541
AU,"The Weeknd, Gesaffelstein",651965
AU,"Gesaffelstein, The Weeknd",645193
AU,Twenty One Pilots,642838
AU,YNW Melly,641305
