Month,track_name,artist_names,streams
2023-11,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",53633727
2023-11,Cruel Summer,Taylor Swift,52211476
2023-11,I Wanna Be Yours,Arctic Monkeys,45025756
2023-11,As It Was,Harry Styles,44528281
2023-11,Paint The Town Red,Doja Cat,44260542
2023-11,Standing Next to You,Jung Kook,42925974
2023-11,Strangers,Kenya Grace,40873306
2023-11,Prada,"cassö, RAYE, D-Block Europe",36429781
2023-11,Water,Tyla,35891645
2023-12,greedy,Tate McRae,46414582
2023-12,All I Want for Christmas Is You,Mariah Carey,38315873
2023-12,Si No Estás,iñigo quintero,37388456
2023-12,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",34040507
2023-12,Last Christmas - Single Version,Wham!,32609650
2023-12,I Wanna Be Yours,Arctic Monkeys,31370277
2023-12,Cruel Summer,Taylor Swift,31009958
2023-12,Holly Jolly Christmas,Michael Bublé,27567052
2023-12,Rockin' Around The Christmas Tree,Brenda Lee,26525670
2023-12,Standing Next to You,Jung Kook,26141400
2024-01,greedy,Tate McRae,47214026
2024-01,Cruel Summer,Taylor Swift,37737175
2024-01,Lovin On Me,Jack Harlow,36918587
2024-01,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",35082429
2024-01,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",34877521
2024-01,As It Was,Harry Styles,34719717
2024-01,I Wanna Be Yours,Arctic Monkeys,30330007
2024-01,Starboy,"The Weeknd, Daft Punk",29750154
2024-01,Houdini,Dua Lipa,29577831
2024-01,Si No Estás,iñigo quintero,27466483
2024-02,greedy,Tate McRae,57336956
2024-02,Cruel Summer,Taylor Swift,55526846
2024-02,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",50320125
2024-02,Unwritten,Natasha Bedingfield,49449498
2024-02,Beautiful Things,Benson Boone,47019682
2024-02,"yes, and?",Ariana Grande,43326608
2024-02,Lose Control,Teddy Swims,43292947
2024-02,Houdini,Dua Lipa,42760044
2024-02,I Wanna Be Yours,Arctic Monkeys,40827574
2024-02,Lovin On Me,Jack Harlow,36973809
2024-03,greedy,Tate McRae,47261440
2024-03,Beautiful Things,Benson Boone,45460276
2024-03,Lose Control,Teddy Swims,44904000
2024-03,Cruel Summer,Taylor Swift,40289108
2024-03,TEXAS HOLD 'EM,Beyoncé,39600645
2024-03,End of Beginning,Djo,38836368
2024-03,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",38086905
2024-03,Unwritten,Natasha Bedingfield,37951228
2024-03,I Wanna Be Yours,Arctic Monkeys,35961304
2024-03,Flowers,Miley Cyrus,32506356
2024-04,Beautiful Things,Benson Boone,59144455
2024-04,End of Beginning,Djo,52753688
2024-04,we can't be friends (wait for your love),Ariana Grande,50844206
2024-04,Lose Control,Teddy Swims,43109395
