rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
184,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,143,176,8,519678,DE,2024-10-10
185,spotify:track:3qmvK8QARSPkFTuKeIXSbs,Linkin Park,Bleed It Out,Warner Records,105,197,4,516053,DE,2024-10-10
186,spotify:track:7lQdJEWeNuZO8mlUUCfPMj,Berq,Mein Hass tritt dir die Haustür ein,Urban,88,88,2,515554,DE,2024-10-10
187,spotify:track:3aLZ0s5ulFLcFCtIZQblpo,Pashanim,Hauseingang,Urban,40,146,126,513247,DE,2024-10-10
188,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,124,199,41,512702,DE,2024-10-10
189,spotify:track:1FrMsTKGAL1zVIMIQ7N12X,Mucco,Enttäuscht,Life is Pain,86,136,4,511944,DE,2024-10-10
190,spotify:track:29vCE5UzdE8dzcJWbG2CsK,"6PM RECORDS, Ski Aggu, Haaland936, SIRA",JUNGE BALLER,Four Music/6PM RECORDS,2,163,18,511891,DE,2024-10-10
191,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),Mr.305/Polo Grounds Music/J Records,110,156,32,510454,DE,2024-10-10
192,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,30,171,68,509511,DE,2024-10-10
193,spotify:track:4Na2HfNSr58chvfX69fy36,Gunna,one of wun,300 Entertainment,157,-1,3,508057,DE,2024-10-10
194,spotify:track:716nxJRvf5LepfbCNn8RYP,Die Schule der magischen Tiere,"Halt, das ist unser Wald",Karussell,194,-1,1,508034,DE,2024-10-10
195,spotify:track:7zrBzKYCZSFLXWaMIbv0aX,"Dardan, Azet",Pa Mu,Azet x Dardan/Warner Music Central Europe,9,177,23,504995,DE,2024-10-10
196,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,-1,55,503881,DE,2024-10-10
