rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country,date
145,spotify:track:5bD6mFl116xCxVMLy7IK9F,"KAROL G, Dei V",GATITA GANGSTER,Bichota/Interscope Records,33,154,46,508339,ES,11
146,spotify:track:18Eb38xeQJQxs0R3n3VBQa,"Dei V, Bryant Myers",Narcotics (with Bryant Myers),Encore Recordings,17,133,43,507002,ES,11
147,spotify:track:1kqH58eGh2ZTOHwqBIB2tM,"Mesita, Nicki Nicole, Tiago PZK, Emilia",Una Foto Remix (feat. Emilia),Mesita,7,129,27,506949,ES,11
148,spotify:track:3pjvkWO9fqiRRBE1tDLu3S,"Quevedo, Ovy On The Drums",SIN SEÑAL,Quevedo,4,145,95,504142,ES,11
149,spotify:track:4r4bK5oNVjbeAF5XsKEw9s,"Chanel, Abraham Mateo",Clavaito,Sony Music Entertainment,6,141,63,502792,ES,11
150,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,70,182,12,498149,ES,11
151,spotify:track:3Cx4BsDd4q0GCVBJ5CAw2K,"Gaby Music, Lunay, Luar La L",No Te Quieren Conmigo,"Universal Music Latino / Gaby Music, Inc.",4,148,30,497078,ES,11
152,spotify:track:24UStI5AYA7g5ufFDh3LH0,Fito y Fitipaldis,Por la boca vive el pez,DRO/Spain,133,150,66,494177,ES,11
153,spotify:track:4dLLdfiniBhDP9dlJQIOi4,"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",OCESA Seitrack,108,146,6,491237,ES,11
154,spotify:track:0DXI6c9tNWsI4tvUftkQN8,Estopa,Tu Calorro,Ariola,145,166,50,489784,ES,11
155,spotify:track:1EC0JRoSi9YL5zExd3Euc3,Los Ronaldos,No Puedo Vivir Sin Ti,Subterfuge Records distributed by Altafonte,144,144,18,489504,ES,11
156,spotify:track:0T2pB7P1VdXPhLdQZ488uH,Feid,Normal,UMLE - Latino,18,165,105,488604,ES,11
157,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Don Omar, Lucenzo",Danza Kuduro,UMLE - Machete,157,187,10,488000,ES,11
158,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,Don Omar,Dile,UMLE - Machete,154,162,10,485402,ES,11
159,spotify:track:4NoOME4Dhf4xgxbHDT7VGe,"KAROL G, Romeo Santos",X SI VOLVEMOS,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,11,-1,37,484893,ES,11
160,spotify:track:6ifUES3keWjwXgae8pXI3o,Danny Ocean,Me Rehúso,Atlantic Records,2,157,302,483550,ES,11
161,spotify:track:6mnfGyPzbzSe8olYGM44pU,Beny Jr,Luna llena,LF BABYS,161,-1,1,483193,ES,11
162,spotify:track:2hLXUbsOU9cDb9RFva9FYr,"Mora, JHAYCO",MEMORIAS,Rimas Entertainment LLC,6,160,119,477697,ES,11
163,spotify:track:3DoQI6dr5XDc7hChrkA1lD,"Rvfv, Morad",0 CONFIANZA,NASTU MUSIC,26,83,6,475756,ES,11
164,spotify:track:4PA1wK0leCjmRZlP5dQ8Lv,"Sky Rompiendo, Feid, Myke Towers",El Cielo,Sony Music Latin,3,164,58,475287,ES,11
165,spotify:track:1Hs1uUl8o2VtDp1DABFq0O,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",Los del Espacio,WEA Latina,3,161,58,475260,ES,11
166,spotify:track:3MTzCXM4r6yTOLhiuIaRfh,"Abraham Mateo, Danny Ocean",Bailarina,Sony Music Entertainment,128,169,14,473404,ES,11
167,spotify:track:1atmE3gVewfmWK01joYhbA,Marta Santos,Me Sabe a Sal,Sound Blaster Records,163,200,6,473148,ES,11
168,spotify:track:5cDb5zMz121WQde65PLZY4,Dei V,Quién es Dei V?,Encore Recordings,11,152,43,472126,ES,11
169,spotify:track:51QmqegeWI2orK2mzDfnIH,Kiko Rivera,El Mambo,Kiko Rivera,5,136,41,471961,ES,11
