rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
42,spotify:track:0lbDzTINTToToBpkrnQT2t,"Fuerza Regida, Manuel Turizo",UNA CERVEZA,Rancho Humilde/Street Mob Records,20,45,29,3018326,MX,2024-07-11
43,spotify:track:5HR7yfhSCeoOHRQN05XnZQ,"Grupo Frontera, Carin Leon",QUE VUELVAS,Grupo Frontera,2,60,83,2994277,MX,2024-07-11
44,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,34,43,5,2955704,MX,2024-07-11
45,spotify:track:75qepWUT3FEyPyXQMMMVZm,"Rels B, Junior H",Un Desperdicio,DALE PLAY Records / Flakk Team,8,46,11,2884783,MX,2024-07-11
46,spotify:track:5oYVxFt2k4SkVp6wzVsFWN,"Sevdaliza, Villano Antillano, Tokischa","Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Twisted Elegance,13,41,12,2881979,MX,2024-07-11
47,spotify:track:5GTBdEjZe7zEDp1N0eCZE4,"Peso Pluma, Estevan Plazola",HOLLYWOOD,2024 Double P Records,32,53,3,2843601,MX,2024-07-11
48,spotify:track:3YyTyWfSwAhesGCKpnuRKl,"Peso Pluma, Tito Double P, Joel De La P",LA PEOPLE II,2024 Double P Records,3,27,16,2803918,MX,2024-07-11
49,spotify:track:22jhscHs2DoVqKG5vKJytQ,"Luis R Conriquez, Joel De La P, Chimbala",Que Se Cuide,Kartel Music,14,50,10,2780851,MX,2024-07-11
50,spotify:track:63pLfjK6FvcYJYMGwtHjd6,Feid,SORRY 4 THAT MUCH,FEID,32,38,5,2749534,MX,2024-07-11
51,spotify:track:6Q2UhuLaPUlC9VANQOjPxo,"Gabito Ballesteros, Junior H",Neta,Los CT Records,24,64,7,2724546,MX,2024-07-11
52,spotify:track:5jVExEArvISIYu8mamVgfV,"Peso Pluma, Junior H, Eslabon Armado",LA DURANGO,2024 Double P Records,8,26,9,2718213,MX,2024-07-11
53,spotify:track:1Gp71NN7m8WYIFMi335lJJ,"Gabito Ballesteros, Natanael Cano",El Boss,Los CT Records,8,48,15,2715648,MX,2024-07-11
54,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,1,52,105,2579486,MX,2024-07-11
55,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,Xavi,La Víctima,Interscope Records,2,54,42,2546339,MX,2024-07-11
56,spotify:track:2TJKY0WSFufZOzbRNgl6zE,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,Rios Music/ Outerspace Music/ Boba Records Corporation,3,58,47,2541726,MX,2024-07-11
57,spotify:track:1GtIK8iINes4gNt06F60NU,Alfredo Olivas,Vete,Fonovisa,28,72,54,2538373,MX,2024-07-11
